,Document_No,number,created_at,text,source,user is verified,user has url,user description,user created at,retweet_count,reply_count,like_count,quote_count,followers count,following count,tweet count,listed_count,user location,binary_class,ternary_class,sentiment
137,137,736,9/7/2022 02:40,Is China working on a Monkey pox virus now?,Twitter for iPhone,FALSE,FALSE,Hockey fan and Aviation Finance professional. Just be a nice human being and we will get along well.,27/8/2012 13:38,0,0,1,0,99,400,4202,1,Apple Valley,1,1,negative
138,138,739,9/7/2022 02:42,"@PaolaQP1231 @JudyJudyb67 Looks planned just like "" monkey pox simulation"" :woman_shrugging: _URL_",Twitter for iPad,FALSE,FALSE,None,12/2/2019 15:38,1,0,1,0,465,718,2379,3,None,1,1,negative
139,139,745,9/7/2022 02:45,"@argo_times @FoxNews ""Every Tool"" …they're talking about Biden here,as he will be THAT Tool promoting the hell out of this latest BIG PHARMA jab$$Monkey pox affects an infinitesimal,VERY specific group-not mainstream Americans. This is the latest SCAM for mail-in voting-fear-mongering WORKS w/ sheep",Twitter for iPhone,FALSE,FALSE,None,12/3/2014 16:24,0,0,0,0,1648,443,221192,17,None,1,1,positive
140,140,753,9/7/2022 02:47,@vivacityrules @CDCDirector Why did they downgrade monkeypox from airborne to droplet/fomite when it actually started circulating?  My guess: because they don't want to tell people to wear masks again because then they can't pretend there is no pandemic and they might lose an election.,Twitter Web App,FALSE,FALSE,None,13/8/2020 17:39,0,4,3,0,149,56,7811,3,None,1,1,neutral
141,141,755,9/7/2022 02:47,"The White House has buried the origins of the Wuhan Virus. Anyone with a half of brain function knows it originated in China. The Round Face Yellow commies are responsible for the death of your loved ones, and they must pay the ultimate price. They are at it again with Monkeypox",Twitter for iPhone,FALSE,FALSE,Retired,16/6/2022 15:27,0,0,2,0,19,52,159,0,None,1,1,positive
142,142,772,9/7/2022 02:50,@JohnSmi25391165 But don't people have to get really close for monkey pox? As in screwing each other?,Twitter Web App,FALSE,TRUE,"Retweeting the Patriots, opposing the Demunist Commiecrats. If you end your profile with he/him, she/her, or even worse, they/their or xe/xer/xim, you're dumb!",4/2/2020 18:18,0,1,1,0,49,60,3655,0,Land Of Fruits And Nuts,1,1,positive
143,143,780,9/7/2022 02:53,"Fun Fact: The Wuhan lab in China that brought us Covid, is now working with the Monkey Pox Virus",Twitter Web App,FALSE,FALSE,"PUREBLOOD, Dog Lover....NO DM's",17/6/2022 22:06,18,3,39,1,1562,3273,2961,0,None,1,1,positive
144,144,806,9/7/2022 02:55,@CBSMornings Monkey pox is transmitted via sex. It's not like Covid. Don't sleep with dozens of strangers and you'll be fine.,Twitter for iPhone,FALSE,TRUE,Christian mom. US immigrant at age 11. English is my 2nd language. Former attorney and healthcare worker. Of African descent.,19/9/2015 13:35,0,1,4,0,3504,4237,65525,15,"Manhattan, NY",1,1,positive
145,145,809,9/7/2022 02:56,"@gabbystern Oh dear. No idea how this ended up in my feed, but I really wish you would worry less about fancy oil and a feud and stuff, and start using your communications position for good. Covid and monkeypox are both airborne. How do we manage them without masks?",Twitter for iPad,FALSE,TRUE,#CovidIsNotOver #MonkeypoxIsAirborneToo #Ukraine #WokeAF #KlondikePapers #MMIW #BLM #VastRWConspiracy #MassGraves #ClimateActionNow,29/4/2009 22:41,0,0,2,0,658,1365,16234,1,No,1,1,positive
146,146,832,9/7/2022 03:01,"@PrepIsPoison There have been outbreaks of sexually transmitted hepatitis C in network of gay men in European, American &amp; Australian cities since ~2000. People not in those networks mostly aren't aware of it &amp; sexual transmission remains rare among heterosexuals -- quite like monkeypox.",Twitter Web App,TRUE,FALSE,"Medical journalist; science editor for @POZmagazine/@Hepatitismag/@CancerHealthmag; Bay Area Reporter (@eBARnews), @aidsmap/@infohep; research beagle adopter",21/3/2009 21:54,0,2,1,0,12738,6361,26383,351,San Francisco/St. Pete,1,1,positive
147,147,836,9/7/2022 03:04,"This reporter is a pornographer of the corrupt vaccination scam. She also tweets relentlessly about monkeypox, and is famous for spreading the '""China virus"" is racist' psy-op. _URL_",Twitter Web App,FALSE,TRUE,"As seen in Liberty decades ago, the initials stand for ""Timothy Wirkman Virkkala."" _URL_ / @wirkman (Gab & Flote)",4/4/2010 00:53,0,0,0,0,439,1025,9205,15,"Wahkiakum County, USA",1,1,neutral
148,148,844,9/7/2022 03:05,@nypost Monkeypox is definitely AIDs now!,Twitter for iPhone,FALSE,TRUE,A blogger said it so it must be true.,5/5/2010 01:21,0,0,0,0,212,95,13999,13,"Poway, CA",1,1,neutral
149,149,847,9/7/2022 03:06,@nypost Let me fix this Conservative man likely spread monkeypox at Texas bathhouse through gay sex with multiple men,Twitter for Android,FALSE,FALSE,HOU*DAT,20/4/2021 02:15,0,0,0,0,110,4630,5593,2,Tejas,1,1,positive
150,150,850,9/7/2022 03:06,So kids dnt catch chicken pox no more? So now we have monkey pox :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy: they jus be creating shit to kill us in these labs,Twitter for iPhone,FALSE,FALSE,Comes to a point where u understand life goes on and time waits for no man....#Titans #NBA #Penguins #Pitt #Pirates sports fanatic let's buss it up,3/3/2012 14:53,0,0,3,0,2415,4460,47757,12,Pittsburgh,1,1,negative
151,151,854,9/7/2022 03:07,"@Cernovich So I'll be needing a vaccine for this monkeypox. Seems the me a simpler solutions suggests itself. Abstain from anonymous promiscuous gay sex in bathhouses. Take that, Pfizer.",Twitter for Android,FALSE,FALSE,"Catholic, conservative, pronoun mocker. The Red Ensign is the flag Canada fought under in WWII. Considered a hate symbol by Justin Trudeau's government.",26/4/2022 02:45,0,0,7,0,228,317,5466,4,None,1,1,positive
152,152,869,9/7/2022 03:10,@genjibear @CDCDirector Issue of masks maybe less impt than another glitch-stating #monkeypox is contagious only after someone's symptomatic-NOPE. Body fluids (semen) contagious BEFORE someone's symptomatic.They're needlessly spreading monkeypox. Is it desire to deceive or failure to read or think?,Twitter Web App,FALSE,TRUE,Trump endangers us all. Neutralize him. Indict him -any other ideas? No ideas off _URL_ do your job-We failed to stop Hitler. Stop Trump B4 too late.,8/10/2016 19:41,0,0,0,0,150,164,5292,2,Sense of Irony,1,1,negative
153,153,885,9/7/2022 03:16,"The NeverEnding Psyop Biden administration to distribute 144,000 more monkeypox vaccine doses _URL_",Twitter Web App,FALSE,FALSE,I like magic... FGO NA Friend Code: 643607622,30/3/2018 21:27,0,0,0,0,1447,1726,103594,7,Florida,1,1,positive
154,154,889,9/7/2022 03:18,@lightnin812 @GhetsalSSB @Hack_G1 @iiinoodlesiii @JakeSucky Go spread the monkey pox femboy,Twitter Web App,FALSE,FALSE,No jaw line = opinion disregarded,7/7/2021 01:43,0,1,1,0,71,609,998,1,None,1,1,negative
155,155,891,9/7/2022 03:19,Dems 2022 &amp; 2024 Campaign Strategy: 1. Exploit mass shooting to raise gun issue(done) 2. Lie abt SCOTUS #ROEvWade to stir abortion issue (done) 3. Exploit story of white cop shooting a person of color (in progress) 4. Create another health crisis (#Covid/#Monkeypox in progress),Twitter Web App,FALSE,FALSE,Creator of 1.4MM Member Grass Roots Political Action Group & Host of Political Talk Radio Show Speak Out America Now with Peter J. Dawson.,21/10/2009 14:32,2,0,2,0,1755,239,132753,47,None,1,1,neutral
156,156,901,9/7/2022 03:23,"NYC is offering you another way to become a vaccine junkie. Starting next week, the menu will change. Residents of NYC will be able to find places to take the Monkeypox vaccine. So if you don't like the taste of covid vax, you now have Monkeypox vac to bathe your palette gratis.",Twitter for iPhone,FALSE,FALSE,"As a seasoned traveler, I think of myself as an unofficial ambassador for the world. my Twitter address isn't misspelled. Correct spelling already taken.",13/7/2014 05:09,0,0,2,0,141,554,8441,0,None,1,1,positive
157,157,905,9/7/2022 03:26,Monkeypox? Doctors are going broke not selling enough fake vaccine,Twitter for iPhone,FALSE,FALSE,Genealogist and History researcher. Historical detective. Interests in DNA analysis. Early New York City history. Eastern European Immigration .,14/3/2018 20:19,0,0,0,0,29,93,2047,0,"New York, USA",1,1,negative
158,158,909,9/7/2022 03:27,And Fauci's busily working on making monkey pox lethal in Wuhan right now! _URL_,Twitter for Android,FALSE,FALSE,":hundred_points:Patriot.   God ALWAYS first, then country & my gun. Card carrying Ultra MAGA Gang member! Pro-life! SC-but Lindsey Graham is not my fault! No DMs. IFBAP",1/3/2021 03:15,0,1,1,0,4801,4692,7390,0,None,1,1,positive
159,159,911,9/7/2022 03:28,@News12LI What made you think they were going to stop with COVID? Now we have monkey pox vaccine pop ups!!! :face_with_symbols_on_mouth:,Twitter for iPhone,FALSE,TRUE,Doctor of Chiropractic and Warrior Dad,20/3/2013 16:16,0,0,0,0,113,106,603,2,"Bellport, NY",1,1,negative
160,160,933,9/7/2022 03:35,"@VanessaBeeley I thought the lockdowns were coming for monkeypox.? I saw a lot of this coming, but people taking advantage of their own gullibility to ease dissonance was not on my bingo card.",Twitter for iPhone,FALSE,FALSE,Anti-anti-information,9/6/2021 18:41,0,0,0,0,9,47,1384,0,None,1,1,positive
161,161,935,9/7/2022 03:35,@tessvanstraaten We now know that the outbreak of monkey pox now creeping into Victoria is virtually 100% caused via male anal sex transmission.  Send out a public health warning?,Twitter Web App,FALSE,FALSE,Retired First Vice President of an international investment brokerage firm.,28/10/2013 22:25,0,0,0,0,17,264,796,0,"Victoria, British Columbia",1,1,negative
162,162,937,9/7/2022 03:36,#MonkeyPox another money maker &amp; excuse for #democRAT  mail-in voting schemes. _URL_,Twitter for iPhone,FALSE,FALSE,"A Dumbass, Equal Opportunity Offender. Take a Number. NO TRAINS. ButchOred on TruthSocial... I BLOCK STUPID.",23/11/2021 20:02,0,0,0,0,607,663,24689,5,USA,1,1,negative
163,163,944,9/7/2022 03:38,@purehomohate @TheIncreaserJT @nypost please keep your monkeypox and sodomy within the privacy of your home and not in public bathhouses,Twitter Web App,FALSE,FALSE,まったく、小学生は最高だぜ！,24/4/2020 06:21,0,0,1,0,93,196,4401,4,None,1,1,neutral
164,164,976,9/7/2022 03:50,#CDC's spreading misinformation-saying #monkeypox isn't contagious before it is symptomatic. #CDC is incorrect &amp; now seems corrupt. NO other explanation for their #monkeypox &amp; #COVId errors is possible.They need to be fired. They are deadly. _URL_ via @nypost _URL_,Twitter Web App,FALSE,TRUE,Trump endangers us all. Neutralize him. Indict him -any other ideas? No ideas off _URL_ do your job-We failed to stop Hitler. Stop Trump B4 too late.,8/10/2016 19:41,1,0,0,0,150,164,5292,2,Sense of Irony,1,1,negative
165,165,980,9/7/2022 03:51,"@MightyArty2 In tonight's show, he virtually proves that almost our entire government has been working for China, to destroy us, and it started in Wuhan, which is now working on Gain of Function Monkey Pox, to finish us! _URL_",Twitter Web App,FALSE,TRUE,"Liberty Warrior and Author of ""The Universal Individual Rights Project"" ( The Book is at Amazon ). A Worldwide Freedom Movement.",29/1/2017 19:08,1,0,1,0,121,104,30721,1,"Colorado, USA",1,1,positive
166,166,984,9/7/2022 03:53,If it's not COVID it's Monkeypox…the media will continue to have us living in fear if we allow them to. _URL_,Twitter for iPhone,FALSE,FALSE,Seahawks and Ducks fan. US Navy veteran. Father of the best 15 year old girl. Given myself to God. Champions Centre is my home.,3/7/2013 05:12,0,0,0,0,195,865,17105,3,"Puyallup, WA",1,1,neutral
167,167,993,9/7/2022 03:56,@Stephen_Andrew Monkey pox cases are clearly starting to explode here in Victoria - for only one reason. Gays having anal sex. Let us admit to it - and solve the problem. Send the message out to be careful!,Twitter Web App,FALSE,FALSE,Retired First Vice President of an international investment brokerage firm.,28/10/2013 22:25,0,0,0,0,17,264,796,0,"Victoria, British Columbia",1,1,negative
168,168,994,9/7/2022 03:57,"@gabbystern @WHO We the public need more information on monkeypox. So far everything I'm hearing is from doctors on twitter, and they're in one of two camps: this is mainly spreading among MSM, or it's airborne and we're all going to get it.",Twitter for iPhone,FALSE,FALSE,"Please join me in the 21st century. It's the guns, and the GOP. #GunControlNow",16/6/2012 02:53,0,1,0,0,44,287,3602,0,United States of idiocracy,1,1,positive
169,169,998,9/7/2022 03:58,"Buckle up America. Dems/Left's failed policies, outright lies &amp; false narratives are being exposed &amp; they face a wrecking ball in Nov. They are desperate &amp; will say/ do whatever is necessary to maintain power. - Stoke Racial tensions - Stoke Virus fears ( #MonkeyPox) - Lie",Twitter Web App,FALSE,FALSE,Creator of 1.4MM Member Grass Roots Political Action Group & Host of Political Talk Radio Show Speak Out America Now with Peter J. Dawson.,21/10/2009 14:32,0,0,0,0,1755,239,132753,47,None,1,1,negative
170,170,1000,9/7/2022 03:59,"Next plandemic is starting July 15, they want to force us to wear face diapers again, they already ordered millions of monkey pox vax… I hope I'm wrong … _URL_",Twitter for iPhone,FALSE,FALSE,"Fighting for our rights and freedom, not anti vaxer just anti-neurotoxin",21/5/2021 00:23,2,1,5,0,351,498,4300,2,None,1,1,negative
171,171,1002,9/7/2022 03:59,China is conducting genetic engineering on monkey pox right now.,Twitter for iPhone,FALSE,FALSE,"Crypto investor, News Junkie, Veteran, Dad, Die hard KC Chiefs and Royals fan",24/4/2021 02:58,0,0,0,0,146,88,4056,2,The Wilderness,1,1,positive
172,172,1009,9/7/2022 04:02,"San Francisco Lawmakers Call Out Government for 'Public Health Failure' on Monkeypox _URL_  Gays just want to do gay stuff in spite of consequences, then blame everyone else.",Twitter Web App,FALSE,FALSE,"Is It Real News? Only The Media Knows For Sure. ""The only thing necessary for the triumph of evil is for good men to do nothing."" ― Edmund Burke",7/1/2021 00:19,0,0,0,0,10,11,1897,0,None,1,1,positive
173,173,1021,9/7/2022 04:06,@ZeroCOVID4Ever Everybody who got the COVID vax gets Monkeypox. It's a side effect...,Twitter for Android,FALSE,FALSE,Class-A licensed semi-truck driver since 1999. Retired Bitcoin investor. Philosopher & Great Thinker of our time. A firm believer in curative powers of peppers.,22/3/2020 04:19,0,0,1,0,49,60,1894,1,"Portland, OR",1,1,neutral
174,174,1022,9/7/2022 04:06,Groundbreaking Study finds Monkeypox Outbreak is result of Biolab manipulated Virus released intentionally! No! Really?? Oh yeah … just in time for the elections!  _URL_,Twitter for iPad,FALSE,FALSE,Homelessness in Ireland. WHY?,21/1/2010 00:35,0,0,0,0,1787,1538,9162,44,"Reston, VA",1,1,negative
175,175,1025,9/7/2022 04:07,"Here comes the next pandemic. Thanks to CHINA and Fauci. Nobody cares, apparently. #CCPvirus #monkeypox _URL_",Twitter for Android,FALSE,TRUE,Twitter is for Twits.,23/5/2008 06:33,0,0,0,0,27,134,1468,0,UTAH,1,1,positive
176,176,1032,9/7/2022 04:11,Monkeypox is becoming endemic bc the needs of the gay community to have constant anonymous bath house orgies is more important than our need to not die of a new pandemic every five minutes _URL_,Twitter for iPhone,FALSE,FALSE,president of the reply guy workers Union,27/2/2022 04:18,0,0,1,1,128,432,4295,2,None,1,1,positive
177,177,1049,9/7/2022 04:16,@mviser Says the guy who refuses to tell the public that covid originated in the same Wuhan lab that is now playing Frankenstein with monkey pox. You are really stupid if you believe anything he says,Twitter Web App,FALSE,FALSE,None,12/6/2022 05:09,0,0,0,0,14,27,128,0,None,1,1,negative
178,178,1056,9/7/2022 04:19,"@RaniSquad @EfCovid19 @gabbystern @DrEricDing @WHO The WHO and the CDC BOTH still shill the ""not aerosolized"" line. It's a flat lie. It's been proven and they KNOW it and they skirt it with that bullshit ""sometimes"" airborne LIE with COVID and now they're doing it with monkeypox BUT WE HAVE KNOWN ABOUT MONKEYPOX FOR YEARS. #Lie",Twitter for iPhone,FALSE,FALSE,mother.,28/2/2009 05:48,0,1,1,0,285,715,9235,6,Washington DC,1,1,negative
179,179,1063,9/7/2022 04:20,Looks like the Wuhan lab is working on creating monkey pox viruses now. Why am I not surprised?  _URL_,Twitter for iPhone,FALSE,FALSE,"Taking names and looking for answers. Christian with a :latin_cross: worldview. It all makes sense. ""Come now, and let us reason together"" :star_of_David:",20/9/2014 18:05,0,0,2,0,828,1466,17960,1,USA,1,1,negative
180,180,1066,9/7/2022 04:20,"Where monkey pox go? The same place murder hornets, omicron, birthing people, and Fauci went?  The Land of make believe.",Twitter for iPhone,FALSE,FALSE,I use this for the format :smiling_face:,9/5/2021 21:56,5,2,21,0,1086,6,1052,4,None,1,1,negative
181,181,1072,9/7/2022 04:23,@thevivafrei @esme_saysno @pfizer You will get the Monkey pox vaccine. You will hold elections by mail and you will not ask questions. You will comply. _URL_,Twitter for iPhone,FALSE,FALSE,Happily Married :ring: :prohibited: DMs IFBAP FJ:honeybee:,24/5/2022 20:07,0,0,0,0,473,632,2473,0,"Florida, USA",1,1,negative
182,182,1078,9/7/2022 04:26,"The sequel - #Monkeypox virus - #Planedmic is being filmed. First #China, then globally; whole world. :clapper_board::movie_camera::film_projector::film_frames::cinema::globe_with_meridians: @AJBalkans #CNN #BBC #RTL #BILD _URL_",Twitter Web App,FALSE,FALSE,"Ego sum, qui sum. - Ja sam koji jesam",27/7/2018 10:59,1,0,1,0,34,63,6951,0,zagreb,1,1,positive
183,183,1084,9/7/2022 04:29,BOMBSHELL! New Report In VAERS Shows Monkeypox Shot was giving people Monkeypox in 2017!!?? _URL_,Twitter for iPhone,FALSE,FALSE,:United_States::United_States::United_States:President Trump :United_States::United_States::United_States::folded_hands::folded_hands:Love our country love our patriots love President Trump! Family I love being a grandmother!,3/3/2019 18:55,1,0,2,0,1344,2150,21913,1,None,1,1,positive
184,184,1089,9/7/2022 04:31,"@VanessaBeeley Is Marburg the next pandemic they've planned against us? Why now? Their Monkeypox is too limited in potential victims. When it comes to ongoing warfare launched by the global elite against us regular citizens, it appears all gloves are off.",Twitter for Android,FALSE,FALSE,"Cranky old fart, but I do love my dogs. And anyone else who agrees with me.",13/1/2021 21:42,0,1,1,0,137,326,5553,0,None,1,1,negative
185,185,1099,9/7/2022 04:35,"Tucker Carlson reported tonight (7/8/22) that PRC may have engineered monkeypox virus. In Wuhan.  You can bet someone is going to suggest that the way to stop this begins with killing all the ""homos"". We really want to find a better way before someone actually tries that.",Twitter Web App,FALSE,TRUE,Former USN still trying life's niches,27/12/2015 09:41,0,0,0,0,17,107,846,0,"Hawkins, Texas, USA",1,1,positive
186,186,1107,9/7/2022 04:38,"@BadBrad_1986 Cadence!.. ""MONKEYPOX!!""  Ain't gonna worry! I don't care. :face_with_rolling_eyes: I won't have butt sex, why the scare? :thinking_face: I survived covid, and the swine flu :flexed_biceps: Got COPD and asthma too:face_with_spiral_eyes: They didn't kill me, but I'm tellin you :index_pointing_at_the_viewer: Monkeypox butt-sex might kill you :skull_and_crossbones: Sound off!  :smiling_face_with_halo: RT #monkeypox",Twitter Web App,FALSE,FALSE,"I love my country, I just don't like where it's going. Adelante, nunca hacia atrás. #TRUMP2SaveAMERICA #AhhBreakfast I'm not begging for followers. #Trump2024",27/12/2019 23:42,0,0,1,1,182,147,3961,0,United States of America,1,1,positive
187,187,1114,9/7/2022 04:40,"@nrdgrl007 @Immortalinquiry Love, not all immune systems are the same. This is chemical warfare mixed with fake news. The monkey pox situation was announced as a war threat months ago, the cvd thing was warned before that as well. Some meds you take f up the liver and more. I wish you get better soon",Twitter for iPhone,FALSE,TRUE,"Rated :circled_M::beaming_face_with_smiling_eyes:I :purple_heart: HEX, I :red_heart: RH, but not a RHmaxi, you dig? Pulsechain is going to make history, PulseX will make me able to create for you. Will Shill for Crypto",4/7/2022 06:14,0,1,0,0,55,240,90,0,"Everywhere,Nowhere,Underwear?",1,1,positive
188,188,1120,9/7/2022 04:42,@LisaMarieBoothe Its over ! Monkey pox is next up to try to control society and steal elections,Twitter for iPhone,FALSE,FALSE,None,15/5/2013 17:29,0,0,0,0,9,215,349,0,"Fountain, CO",1,1,negative
189,189,1124,9/7/2022 04:44,@guypbenson What are they going to do to us next monkey pox? Bill Gates did have a roundtable discussion May 2021 regarding a monkey pox outbreak. US gov purchased 13 million monkey pox vaccine?,Twitter for Android,FALSE,FALSE,None,3/8/2016 13:16,0,0,0,0,23,425,1470,0,None,1,1,negative
190,190,1128,9/7/2022 04:46,@nypost This isn't monkeypox. It's AIDS all over again………courtesy of Dr FrakenFauci,Twitter for iPhone,FALSE,FALSE,Beaverton Oregon. love the lakers and the ducks and Chicago bears and most of all God....,27/1/2018 14:19,0,0,3,0,1072,618,62020,9,"Oregon, USA",1,1,neutral
191,191,1143,9/7/2022 04:51,Wuhan lab is currently working on a Monkeypox variant. The more you know.,Twitter Web App,FALSE,FALSE,"Trying to live as self sufficiently as we can. God, Family and Country. Growing and building things. Protecting the things we love.",11/9/2020 17:04,0,0,0,0,80,306,3662,0,None,1,1,positive
192,192,1155,9/7/2022 04:54,Groundbreaking Study finds Monkeypox Outbreak is result of Biolab manipulated Virus released intentionally. _URL_,Twitter for iPad,FALSE,TRUE,Private Detective / Body Guard / Armed Private Security / Cyber Computer Security Implementation & Investigation Specialist,3/8/2015 23:41,10,1,18,1,874,823,70102,8,Maryland,1,1,neutral
193,193,1162,9/7/2022 04:57,"Perhaps one day soon we will have a Congress with enough intellectual curiosity to push for answers. And now that the same Wuhan lab is ""researching"" how to engineer monkey pox, it will probably ALSO NOT garner any interest from the administration. _URL_",Twitter for Android,FALSE,FALSE,None,8/7/2013 12:30,0,0,0,0,12,80,72,0,"Monmouth, Maine",1,1,positive
194,194,1164,9/7/2022 04:58,"@adam90431084 @snarkypeds @gardengirl778 @CDCgov The pandemic is NOT over. It is far from over. We need to minimize spread and stop selecting for even more infectious mutants. BTW- Monkey pox is also airborne. So again, masks and ventillation of buildings. Avoid crowds.",Twitter Web App,FALSE,FALSE,"Ph.D Scientist, writer, wife, mother. She/her If you are anti-science = auto blocked on 1st reply. Life is too short to deal with those who refuse to think.",22/8/2016 00:47,1,0,2,0,279,692,4499,4,Earth,1,1,positive
195,195,1165,9/7/2022 04:59,@Scott_Wiener @MattHaneySF Not fucking around with multiple strangers is how to stop the spread of moneypox.,Twitter for iPhone,FALSE,FALSE,Gay immigrant with a mind of my own.,14/1/2022 00:55,0,0,0,0,23,62,329,1,San Francisco,1,1,positive
196,196,1193,9/7/2022 05:10,@IQfy_ @sqeptiq @nixonist @nypost If gay men weren't being promiscuous and spreading monkey pox this wouldn't be a problem,Twitter for Android,FALSE,FALSE,None,2/7/2016 12:44,0,0,4,0,189,79,10829,1,None,1,1,positive
197,197,1201,9/7/2022 05:11,"@Cernovich Calling it monkeypox was offensive, did they change the name to pridepox yet?",Twitter Web App,FALSE,FALSE,My cross is in my flag.,6/2/2022 08:59,0,0,12,0,13,120,804,0,None,1,1,neutral
198,198,1203,9/7/2022 05:12,It's AIDS 2.0! Having sex with 5-10 strangers every week: what could go wrong? #Monkeypox _URL_,Twitter Web App,FALSE,FALSE,"Host of The KMG Show, Monday-Friday 4 pm PT. _URL_ I am the last true Canadian you'll ever know PayPal kevin_grace@hotmail.com",18/9/2015 23:10,1,0,6,0,7526,7623,95069,110,"Victoria, British Columbia, Canada",1,1,negative
199,199,1210,9/7/2022 05:14,The Wuhan Lab is working on a monkey pox virus???,Twitter for iPhone,FALSE,FALSE,#1776 Pronouns kiss my ass,16/10/2021 01:43,0,0,0,0,713,1228,58530,3,None,1,1,negative
200,200,1222,9/7/2022 05:16,So now we know that covid-19 was created in the Wuhan lab. That's been proven. Guess where monkeypox comes from? By the way don't forget Joe and Hunter have business affiliations with the Chinese. Remember that in the back of your mind whenever you hear anything about China.,Twitter for Android,FALSE,FALSE,None,20/6/2022 18:10,0,0,0,0,8,66,1586,0,None,1,1,neutral
201,201,1223,9/7/2022 05:17,"@kcdartexpress Yeah, they're really going at it now! The Monkey Pox thing flopped on them, now they're just throwing everything up against the wall to see what'll stick &amp; scare people into submission. Too bad for them that people are waking up record numbers now! PTL! God wins!",Twitter Web App,FALSE,FALSE,"GAB: Same handle TS Gettr  Parler: (on but not often) No lists Please no DM's unless I know you personally, thx!",22/4/2013 20:41,2,0,5,0,3839,3923,88895,14,None,1,1,negative
202,202,1237,9/7/2022 05:23,"Is anyone wondering why #COVID has so many variants and is mutating so much? It's because they are being created in a lab, probably the same one in Wuhan that made the original, and released throughout the world. Wait until you see what they do with the Monkeypox virus. F #Fauci.",Twitter for Android,FALSE,TRUE,"I am the author of 31 novels, including 21 in the Detective Napoli series.",9/9/2021 01:21,1,0,0,0,53,47,2056,0,None,1,1,positive
203,203,1239,9/7/2022 05:26,Uruguay govt demands Pfizer answer a list of very pointed and damning questions  Even the vaxxed have rejected the notion of boosters as the vaccine proves ineffective at best  Monkeypox falls on its face Fauci double vaxxed/boosted gets covid takes paxlovid gets covid again,Twitter for Android,FALSE,TRUE,:middle_finger::backhand_index_pointing_right::syringe: I'm a Mattarchist - I rule:black_flag: Provide Updates on Dystopian Habbenings - Support New Media - Natural Health Enthusiast - Here to Talk Smack to Lizard ppl:snake:,8/8/2021 17:40,0,1,6,0,607,1443,19405,1,Antarctica:alien::Antarctica:,1,1,positive
204,204,1245,9/7/2022 05:28,@CTVNewsVI :thinking_face: … monkeypox is airborne _URL_,Twitter for iPhone,FALSE,TRUE,":Canada: Former prairie girl, now an :desert_island:girl. West Coast is the Best Coast:winking_face:. Fighting to protect old growth, ecosystems and wildlife #savecablebay RDN/Nanaimo:herb::evergreen_tree::owl:",4/3/2014 01:14,0,0,0,0,371,1885,952,1,None,1,1,neutral
205,205,1256,9/7/2022 05:32,Why are you posting this garbage? We don't give a rip about monkeypox or the gay sex that spreads it. _URL_,Twitter for iPhone,FALSE,FALSE,Conservative dude. Liberals are mentally ill. No jabs. No masks. No pronouns. No bitcoin.,30/4/2022 00:38,0,1,2,0,1086,1323,10687,0,None,1,1,positive
206,206,1257,9/7/2022 05:32,"Wuhan Lab is now experimenting on the ""MonkeyPox"" virus. Tucker Carlson: This may have been the greatest crime in history _URL_ via @YouTube",Twitter for iPhone,FALSE,FALSE,#TrudeauNationalDisgrace #TrudeauWorstPMEver #TrudeauMustGoNow #Pierre4PM NO DMs *Conspiracy theories are simply spoiler alerts*,18/6/2021 04:56,3,1,4,0,1976,2585,32809,0,BC :Canada:,1,1,positive
207,207,1267,9/7/2022 05:37,"@Simon18029488 @JamesDelingpole Monkeypox didn't fly, so here we go with Marburg.",Twitter Web App,FALSE,FALSE,None,4/1/2018 11:56,0,0,3,0,2024,1827,64223,4,West Country,1,1,positive
208,208,1277,9/7/2022 05:42,@AskIanfitness3 @RSBNetwork You vote Biden again. You like Bio Labs. Maybe we fund Moneypox too in China. stage4 Lab Wuhan,Twitter for Android,FALSE,FALSE,God,14/4/2022 03:20,0,0,0,0,0,0,48,0,None,1,1,neutral
209,209,1279,9/7/2022 05:43,"@Brewsterlala @BostonGlobe Nothing like downsizing by 100-150 million. COVID really let the Burkean liberals down. Left far too many ""takers"" in the economy where automation no longer required their service. COVID failed but perhaps monkeypox will cull sufficient plebe masses.",Twitter Web App,FALSE,FALSE,I do LoRaWAN & RF IoT. Pups & Tacoma Overlanding.  Financial services CISO and Linux geek.  MITRE ATT&CK MAD. CRISC. CDPSE. #Cybernetics,23/2/2009 14:42,0,0,1,0,1160,2411,698,14,Cyberia,1,1,positive
210,210,1302,9/7/2022 05:52,@thestate Monkeypox = jab poisoning,Twitter Web App,FALSE,FALSE,None,10/9/2021 00:01,0,0,0,0,172,125,9912,1,None,1,1,neutral
211,211,1307,9/7/2022 05:53,"@nypostsports And next they are going to require testing non stop for monkey pox. WHO is having a meeting to decide on measures to be taken on July 18. Oh and a lockdown is coming folks, they are going to close your businesses. People better start saying NO.",Twitter Web App,FALSE,FALSE,None,30/1/2017 04:15,0,0,1,0,1574,1168,35142,5,None,1,1,positive
